6.Dia Arrecadação,2. Valor Arrecadação Bruta Original
06 abr 2015,"2.817.712.616,00"
02 abr 2015,"772.334.946,33"
01 abr 2015,"786.107.419,52"
31 mar 2015,"18.768.239.567,88"
30 mar 2015,"2.197.105.594,70"
27 mar 2015,"1.087.042.244,73"
26 mar 2015,"1.027.258.650,23"
25 mar 2015,"14.256.744.257,85"
24 mar 2015,"1.571.719.777,36"
23 mar 2015,"1.242.523.158,32"
20 mar 2015,"13.251.016.642,39"
19 mar 2015,"1.646.877.093,50"
18 mar 2015,"1.178.541.082,14"
17 mar 2015,"949.045.984,97"
16 mar 2015,"1.042.935.627,50"
13 mar 2015,"5.592.405.455,49"
12 mar 2015,"771.611.370,77"
11 mar 2015,"848.960.608,69"
10 mar 2015,"944.291.904,37"
09 mar 2015,"828.228.082,28"
06 mar 2015,"787.691.483,82"
05 mar 2015,"640.107.789,22"
04 mar 2015,"2.803.668.713,91"
03 mar 2015,"600.833.778,12"
02 mar 2015,"720.943.057,02"
27 fev 2015,"19.774.750.885,60"
26 fev 2015,"1.709.559.525,73"
25 fev 2015,"14.986.055.534,86"
24 fev 2015,"1.512.018.707,29"
23 fev 2015,"1.365.736.657,85"
20 fev 2015,"12.468.842.423,39"
19 fev 2015,"1.944.712.632,90"
18 fev 2015,"898.402.133,22"
13 fev 2015,"5.565.316.972,85"
12 fev 2015,"861.368.943,04"
11 fev 2015,"922.260.993,91"
10 fev 2015,"922.184.320,59"
09 fev 2015,"785.520.147,23"
06 fev 2015,"747.800.475,67"
05 fev 2015,"578.779.296,68"
04 fev 2015,"2.441.576.085,98"
03 fev 2015,"631.974.204,51"
02 fev 2015,"749.192.948,78"
30 jan 2015,"36.730.328.568,73"
29 jan 2015,"3.164.583.620,83"
28 jan 2015,"1.592.869.520,97"
27 jan 2015,"1.164.293.454,01"
26 jan 2015,"1.126.364.637,64"
23 jan 2015,"17.258.764.673,57"
22 jan 2015,"1.679.490.072,60"
21 jan 2015,"1.688.207.671,86"
20 jan 2015,"14.525.768.287,06"
19 jan 2015,"4.695.717.983,62"
16 jan 2015,"1.306.063.201,09"
15 jan 2015,"4.068.793.346,55"
14 jan 2015,"2.970.308.574,80"
13 jan 2015,"898.419.831,12"
12 jan 2015,"720.714.529,33"
09 jan 2015,"2.418.801.249,09"
08 jan 2015,"770.646.524,40"
07 jan 2015,"1.209.393.399,72"
06 jan 2015,"4.461.820.282,55"
05 jan 2015,"985.033.282,21"
02 jan 2015,"347.973.910,15"
31 dez 2014,"2.331.741.294,49"
30 dez 2014,"11.516.305.574,70"
29 dez 2014,"3.035.237.562,87"
26 dez 2014,"870.646.199,65"
24 dez 2014,"10.042.220.311,60"
23 dez 2014,"7.105.586.690,29"
22 dez 2014,"5.615.334.912,64"
19 dez 2014,"10.265.068.372,10"
18 dez 2014,"2.268.834.995,36"
17 dez 2014,"1.774.199.406,70"
16 dez 2014,"1.062.446.100,06"
15 dez 2014,"4.581.151.520,83"
12 dez 2014,"2.765.508.568,61"
11 dez 2014,"756.349.472,26"
10 dez 2014,"1.661.009.494,78"
09 dez 2014,"713.422.955,74"
08 dez 2014,"558.145.757,08"
05 dez 2014,"755.005.730,15"
04 dez 2014,"753.538.185,02"
03 dez 2014,"6.994.625.115,28"
02 dez 2014,"643.299.959,71"
01 dez 2014,"2.169.472.139,12"
28 nov 2014,"24.201.381.034,58"
27 nov 2014,"3.135.088.923,55"
26 nov 2014,"1.918.263.672,37"
25 nov 2014,"17.930.804.503,44"
24 nov 2014,"2.272.115.449,04"
21 nov 2014,"2.094.095.414,97"
20 nov 2014,"6.186.803.700,60"
19 nov 2014,"8.426.506.560,69"
18 nov 2014,"1.122.510.410,34"
17 nov 2014,"1.095.945.983,56"
14 nov 2014,"3.803.827.729,18"
13 nov 2014,"2.492.136.558,20"
12 nov 2014,"925.815.055,62"
11 nov 2014,"690.154.260,07"
10 nov 2014,"1.446.927.122,02"
07 nov 2014,"672.670.390,33"
06 nov 2014,"678.286.416,97"
05 nov 2014,"2.758.618.071,90"
04 nov 2014,"707.704.839,01"
03 nov 2014,"763.144.332,87"
31 out 2014,"25.922.358.783,16"
30 out 2014,"3.772.568.263,56"
29 out 2014,"2.144.854.899,64"
28 out 2014,"1.289.491.760,50"
27 out 2014,"1.115.510.194,11"
24 out 2014,"14.660.151.669,44"
23 out 2014,"3.026.841.985,28"
22 out 2014,"1.141.190.042,13"
21 out 2014,"1.041.774.489,80"
20 out 2014,"12.736.137.943,16"
17 out 2014,"1.880.806.039,60"
16 out 2014,"942.026.410,68"
15 out 2014,"4.093.355.792,31"
14 out 2014,"2.284.534.669,24"
13 out 2014,"1.040.034.262,34"
10 out 2014,"1.191.665.960,45"
09 out 2014,"689.502.143,44"
08 out 2014,"925.561.121,72"
07 out 2014,"519.879.548,08"
06 out 2014,"693.137.680,32"
03 out 2014,"2.527.195.159,44"
02 out 2014,"550.324.390,97"
01 out 2014,"833.224.290,72"
30 set 2014,"17.065.377.825,22"
29 set 2014,"2.419.879.874,34"
26 set 2014,"1.031.230.449,39"
25 set 2014,"13.918.585.191,51"
24 set 2014,"2.873.795.835,56"
23 set 2014,"984.800.371,10"
22 set 2014,"4.513.469.056,26"
19 set 2014,"9.439.823.957,31"
18 set 2014,"1.363.757.886,56"
17 set 2014,"844.723.271,94"
16 set 2014,"713.250.425,91"
15 set 2014,"3.983.883.092,50"
12 set 2014,"2.354.924.697,83"
11 set 2014,"553.672.854,33"
10 set 2014,"1.408.163.420,12"
09 set 2014,"618.353.976,59"
08 set 2014,"555.920.426,51"
05 set 2014,"584.878.993,52"
04 set 2014,"538.192.643,84"
03 set 2014,"2.426.590.397,50"
02 set 2014,"611.748.131,71"
01 set 2014,"648.920.523,30"
29 ago 2014,"15.489.679.516,42"
28 ago 2014,"1.702.059.228,53"
27 ago 2014,"939.914.069,74"
26 ago 2014,"828.312.047,40"
25 ago 2014,"18.792.073.066,09"
22 ago 2014,"4.411.310.141,35"
21 ago 2014,"1.479.132.018,45"
20 ago 2014,"12.755.883.494,24"
19 ago 2014,"1.757.565.642,25"
18 ago 2014,"1.176.488.465,55"
15 ago 2014,"2.033.284.587,96"
14 ago 2014,"2.328.006.344,89"
13 ago 2014,"2.155.258.716,69"
12 ago 2014,"548.159.955,58"
11 ago 2014,"653.910.642,40"
08 ago 2014,"1.162.202.247,45"
07 ago 2014,"529.759.434,28"
06 ago 2014,"693.460.963,06"
05 ago 2014,"2.351.428.241,10"
04 ago 2014,"612.335.355,93"
01 ago 2014,"574.288.803,75"
31 jul 2014,"25.170.124.671,17"
30 jul 2014,"3.284.409.745,13"
29 jul 2014,"1.718.473.310,74"
28 jul 2014,"1.170.076.072,85"
25 jul 2014,"12.442.322.399,90"
24 jul 2014,"1.594.168.348,27"
23 jul 2014,"2.091.633.233,49"
22 jul 2014,"942.962.843,91"
21 jul 2014,"4.267.289.855,12"
18 jul 2014,"9.550.285.545,53"
17 jul 2014,"1.124.910.222,70"
16 jul 2014,"931.105.437,85"
15 jul 2014,"3.667.690.006,60"
14 jul 2014,"2.375.890.776,39"
11 jul 2014,"671.497.337,13"
10 jul 2014,"1.171.493.344,82"
09 jul 2014,"528.959.040,14"
08 jul 2014,"363.928.062,54"
07 jul 2014,"665.422.074,94"
04 jul 2014,"273.527.504,19"
03 jul 2014,"2.217.599.000,35"
02 jul 2014,"667.772.341,08"
01 jul 2014,"634.629.058,64"
30 jun 2014,"17.163.908.674,17"
27 jun 2014,"1.792.144.369,40"
26 jun 2014,"1.362.029.724,11"
25 jun 2014,"13.208.884.720,81"
24 jun 2014,"3.618.998.548,30"
23 jun 2014,"780.448.906,91"
20 jun 2014,"11.284.426.948,48"
18 jun 2014,"3.172.352.451,94"
17 jun 2014,"846.519.170,57"
16 jun 2014,"1.417.593.492,30"
13 jun 2014,"4.715.446.898,28"
12 jun 2014,"309.139.447,10"
11 jun 2014,"821.932.947,96"
10 jun 2014,"1.116.862.345,54"
09 jun 2014,"679.885.196,83"
06 jun 2014,"612.043.991,87"
05 jun 2014,"663.874.027,59"
04 jun 2014,"5.487.498.652,82"
03 jun 2014,"537.223.161,74"
02 jun 2014,"741.083.056,41"
30 mai 2014,"16.376.282.140,59"
29 mai 2014,"1.697.295.575,44"
28 mai 2014,"1.222.333.856,22"
27 mai 2014,"818.844.842,39"
26 mai 2014,"908.514.233,93"
23 mai 2014,"14.627.188.242,46"
22 mai 2014,"1.311.306.145,74"
21 mai 2014,"1.041.832.025,47"
20 mai 2014,"12.707.530.705,15"
19 mai 2014,"1.934.531.726,25"
16 mai 2014,"792.915.490,58"
15 mai 2014,"3.260.494.653,63"
14 mai 2014,"2.394.232.617,59"
13 mai 2014,"589.397.158,55"
12 mai 2014,"632.990.318,14"
09 mai 2014,"1.206.445.053,52"
08 mai 2014,"602.733.380,89"
07 mai 2014,"704.761.655,50"
06 mai 2014,"2.346.091.529,04"
05 mai 2014,"764.523.149,97"
02 mai 2014,"639.027.617,64"
30 abr 2014,"29.980.956.094,24"
29 abr 2014,"3.715.159.350,44"
28 abr 2014,"2.302.248.429,58"
25 abr 2014,"12.857.838.198,26"
24 abr 2014,"3.548.859.630,11"
23 abr 2014,"1.055.677.798,82"
22 abr 2014,"4.650.191.305,62"
17 abr 2014,"9.096.067.819,02"
16 abr 2014,"1.569.386.314,52"
15 abr 2014,"5.597.957.113,42"
14 abr 2014,"3.216.114.509,65"
11 abr 2014,"585.587.878,17"
10 abr 2014,"1.075.905.034,97"
09 abr 2014,"852.468.282,01"
08 abr 2014,"674.835.638,23"
07 abr 2014,"617.458.910,46"
04 abr 2014,"550.954.995,31"
03 abr 2014,"2.365.673.182,52"
02 abr 2014,"621.740.784,80"
01 abr 2014,"783.926.854,46"
31 mar 2014,"17.778.305.599,25"
28 mar 2014,"1.730.432.694,96"
27 mar 2014,"958.629.522,90"
26 mar 2014,"968.428.432,74"
25 mar 2014,"14.414.624.000,49"
24 mar 2014,"1.589.601.519,89"
21 mar 2014,"913.153.040,37"
20 mar 2014,"13.349.771.024,17"
19 mar 2014,"1.630.167.385,70"
18 mar 2014,"1.915.596.632,38"
17 mar 2014,"956.928.862,62"
14 mar 2014,"1.866.268.749,91"
13 mar 2014,"1.857.634.090,48"
12 mar 2014,"700.177.956,45"
11 mar 2014,"653.421.667,48"
10 mar 2014,"1.138.025.096,10"
07 mar 2014,"2.173.695.697,96"
06 mar 2014,"695.425.724,16"
05 mar 2014,"426.635.843,20"
28 fev 2014,"14.424.022.060,00"
27 fev 2014,"1.828.583.193,43"
26 fev 2014,"1.440.990.854,78"
25 fev 2014,"14.277.238.630,95"
24 fev 2014,"1.591.956.552,71"
21 fev 2014,"806.124.080,62"
20 fev 2014,"11.712.407.467,93"
19 fev 2014,"1.631.818.073,76"
18 fev 2014,"831.387.315,90"
17 fev 2014,"800.943.923,93"
14 fev 2014,"3.045.009.903,48"
13 fev 2014,"2.165.801.930,33"
12 fev 2014,"757.544.778,00"
11 fev 2014,"759.975.530,06"
10 fev 2014,"800.712.871,56"
07 fev 2014,"654.120.071,39"
06 fev 2014,"609.960.605,59"
05 fev 2014,"2.223.259.058,40"
04 fev 2014,"597.748.047,11"
03 fev 2014,"695.389.429,80"
31 jan 2014,"39.144.222.646,16"
30 jan 2014,"3.468.853.133,96"
29 jan 2014,"1.637.712.247,49"
28 jan 2014,"1.158.066.053,41"
27 jan 2014,"1.138.163.434,09"
24 jan 2014,"14.695.782.708,75"
23 jan 2014,"2.883.404.437,62"
22 jan 2014,"1.108.194.936,48"
21 jan 2014,"1.481.245.706,67"
20 jan 2014,"13.771.997.829,51"
17 jan 2014,"3.684.054.127,63"
16 jan 2014,"860.578.241,19"
15 jan 2014,"5.374.056.893,34"
14 jan 2014,"816.329.979,91"
13 jan 2014,"762.479.400,84"
10 jan 2014,"2.205.885.869,14"
09 jan 2014,"714.397.162,39"
08 jan 2014,"1.069.622.879,98"
07 jan 2014,"737.007.454,96"
06 jan 2014,"3.473.514.600,80"
03 jan 2014,"800.126.790,41"
02 jan 2014,"744.166.487,20"
31 dez 2013,"1.901.138.762,60"
30 dez 2013,"14.520.067.658,75"
27 dez 2013,"5.302.260.682,92"
26 dez 2013,"4.847.527.272,04"
24 dez 2013,"7.195.529.710,80"
23 dez 2013,"7.344.892.857,71"
20 dez 2013,"14.100.994.682,40"
19 dez 2013,"3.067.604.518,03"
18 dez 2013,"2.425.098.934,04"
17 dez 2013,"1.344.127.578,62"
16 dez 2013,"1.247.492.039,70"
13 dez 2013,"5.243.718.423,98"
12 dez 2013,"916.228.902,69"
11 dez 2013,"1.101.462.461,67"
10 dez 2013,"1.341.548.065,59"
09 dez 2013,"777.421.834,49"
06 dez 2013,"624.129.647,03"
05 dez 2013,"1.047.691.536,81"
04 dez 2013,"5.787.060.204,24"
03 dez 2013,"682.042.054,52"
02 dez 2013,"788.213.724,95"
29 nov 2013,"33.618.788.866,73"
28 nov 2013,"5.431.886.571,76"
27 nov 2013,"4.076.721.887,55"
26 nov 2013,"2.362.570.210,10"
25 nov 2013,"15.474.037.141,69"
22 nov 2013,"1.277.693.444,22"
21 nov 2013,"2.491.915.436,57"
20 nov 2013,"6.038.771.881,27"
19 nov 2013,"6.288.231.094,18"
18 nov 2013,"1.367.980.335,37"
14 nov 2013,"2.935.904.656,68"
13 nov 2013,"2.294.936.826,36"
12 nov 2013,"659.616.445,41"
11 nov 2013,"763.344.308,48"
08 nov 2013,"1.137.007.611,75"
07 nov 2013,"609.172.371,84"
06 nov 2013,"785.040.943,61"
05 nov 2013,"2.227.999.079,08"
04 nov 2013,"661.437.337,22"
01 nov 2013,"592.933.600,47"
31 out 2013,"27.260.528.475,59"
30 out 2013,"3.458.158.656,59"
29 out 2013,"1.670.810.004,74"
28 out 2013,"1.128.066.839,09"
25 out 2013,"12.421.715.132,26"
24 out 2013,"1.533.154.384,30"
23 out 2013,"2.615.554.240,07"
22 out 2013,"924.706.849,30"
21 out 2013,"4.317.294.745,88"
18 out 2013,"8.545.859.703,21"
17 out 2013,"1.171.222.786,69"
16 out 2013,"904.233.397,56"
15 out 2013,"3.724.136.918,50"
14 out 2013,"1.690.924.049,70"
11 out 2013,"574.372.563,51"
10 out 2013,"1.049.822.543,36"
09 out 2013,"817.421.964,76"
08 out 2013,"634.441.905,42"
07 out 2013,"656.275.758,58"
04 out 2013,"613.861.370,90"
03 out 2013,"1.891.314.845,29"
02 out 2013,"756.511.410,19"
01 out 2013,"677.368.316,90"
30 set 2013,"15.587.079.548,18"
27 set 2013,"1.401.670.395,59"
26 set 2013,"1.100.279.471,42"
25 set 2013,"14.009.578.908,33"
24 set 2013,"1.426.465.097,13"
23 set 2013,"1.446.230.085,76"
20 set 2013,"10.124.834.676,95"
19 set 2013,"1.863.999.474,77"
18 set 2013,"1.234.987.214,09"
17 set 2013,"826.971.179,21"
16 set 2013,"879.110.843,59"
13 set 2013,"4.533.239.398,59"
12 set 2013,"702.637.414,70"
11 set 2013,"793.127.090,45"
10 set 2013,"1.373.090.810,06"
09 set 2013,"766.639.953,18"
06 set 2013,"619.151.876,22"
05 set 2013,"608.925.662,24"
04 set 2013,"2.355.984.378,96"
03 set 2013,"676.346.445,31"
02 set 2013,"800.593.203,40"
30 ago 2013,"15.338.753.291,40"
29 ago 2013,"1.565.498.327,99"
28 ago 2013,"1.287.192.097,47"
27 ago 2013,"1.053.703.501,04"
26 ago 2013,"813.462.702,71"
23 ago 2013,"13.167.315.377,68"
22 ago 2013,"1.326.854.897,25"
21 ago 2013,"1.173.021.385,50"
20 ago 2013,"11.022.111.471,89"
19 ago 2013,"1.966.726.463,95"
16 ago 2013,"793.010.623,93"
15 ago 2013,"1.833.334.431,06"
14 ago 2013,"3.587.192.197,31"
13 ago 2013,"651.404.243,58"
12 ago 2013,"747.557.040,10"
09 ago 2013,"1.182.720.821,51"
08 ago 2013,"670.248.590,69"
07 ago 2013,"708.180.293,36"
06 ago 2013,"716.293.204,18"
05 ago 2013,"1.886.006.359,09"
02 ago 2013,"564.533.818,56"
01 ago 2013,"541.982.929,03"
31 jul 2013,"23.768.863.082,17"
30 jul 2013,"2.699.905.433,92"
29 jul 2013,"1.594.408.905,95"
26 jul 2013,"747.695.526,95"
25 jul 2013,"11.279.200.020,47"
24 jul 2013,"3.546.883.745,50"
23 jul 2013,"1.127.615.204,85"
22 jul 2013,"4.240.772.346,19"
19 jul 2013,"8.084.859.704,11"
18 jul 2013,"1.182.110.431,81"
17 jul 2013,"908.014.924,95"
16 jul 2013,"702.453.087,66"
15 jul 2013,"3.569.150.697,24"
12 jul 2013,"1.564.441.682,74"
11 jul 2013,"580.778.073,41"
10 jul 2013,"1.575.485.724,69"
09 jul 2013,"360.016.901,70"
08 jul 2013,"670.533.036,63"
05 jul 2013,"617.574.559,32"
04 jul 2013,"650.232.018,00"
03 jul 2013,"2.182.426.953,59"
02 jul 2013,"600.639.945,39"
01 jul 2013,"850.011.304,35"
28 jun 2013,"15.644.239.565,28"
27 jun 2013,"1.528.403.472,92"
26 jun 2013,"1.036.974.520,23"
25 jun 2013,"14.035.483.613,80"
24 jun 2013,"1.388.935.039,68"
21 jun 2013,"809.323.244,64"
20 jun 2013,"10.826.647.024,68"
19 jun 2013,"1.877.551.537,95"
18 jun 2013,"1.024.328.403,60"
17 jun 2013,"871.011.591,67"
14 jun 2013,"3.263.193.118,95"
13 jun 2013,"1.722.767.110,91"
12 jun 2013,"738.890.401,89"
11 jun 2013,"609.173.725,04"
10 jun 2013,"1.352.466.273,38"
07 jun 2013,"697.202.582,13"
06 jun 2013,"617.837.983,59"
05 jun 2013,"4.555.275.959,30"
04 jun 2013,"597.602.045,64"
03 jun 2013,"2.041.950.434,88"
31 mai 2013,"17.759.904.059,77"
29 mai 2013,"3.202.610.643,62"
28 mai 2013,"1.360.531.509,08"
27 mai 2013,"1.106.589.539,66"
24 mai 2013,"12.604.521.897,13"
23 mai 2013,"2.285.866.076,97"
22 mai 2013,"912.346.690,22"
21 mai 2013,"788.800.665,97"
20 mai 2013,"11.771.226.838,79"
17 mai 2013,"1.075.065.890,77"
16 mai 2013,"741.842.718,76"
15 mai 2013,"4.254.483.186,07"
14 mai 2013,"755.109.706,34"
13 mai 2013,"676.364.184,05"
10 mai 2013,"1.059.271.077,39"
09 mai 2013,"934.821.153,16"
08 mai 2013,"693.657.965,45"
07 mai 2013,"691.705.953,74"
06 mai 2013,"2.618.531.280,15"
03 mai 2013,"760.250.688,36"
02 mai 2013,"882.892.590,56"
30 abr 2013,"25.998.345.041,49"
29 abr 2013,"3.586.372.814,52"
26 abr 2013,"1.426.954.143,46"
25 abr 2013,"13.424.858.567,07"
24 abr 2013,"3.193.139.450,85"
23 abr 2013,"1.009.874.540,23"
22 abr 2013,"4.059.597.630,88"
19 abr 2013,"8.758.342.080,19"
18 abr 2013,"1.112.180.319,80"
17 abr 2013,"837.428.511,43"
16 abr 2013,"773.807.848,59"
15 abr 2013,"3.814.559.613,66"
12 abr 2013,"2.613.996.785,67"
11 abr 2013,"566.920.730,58"
10 abr 2013,"1.265.082.052,92"
09 abr 2013,"723.352.471,50"
08 abr 2013,"667.813.881,99"
05 abr 2013,"634.299.512,03"
04 abr 2013,"571.317.131,99"
03 abr 2013,"2.129.714.626,47"
02 abr 2013,"799.747.506,03"
01 abr 2013,"816.659.493,57"
28 mar 2013,"15.520.188.909,95"
27 mar 2013,"2.751.853.954,40"
26 mar 2013,"1.143.515.253,63"
25 mar 2013,"13.246.736.329,92"
22 mar 2013,"1.173.987.358,67"
21 mar 2013,"809.915.684,65"
20 mar 2013,"10.603.623.417,10"
19 mar 2013,"1.202.802.777,02"
18 mar 2013,"996.792.159,52"
15 mar 2013,"1.760.516.321,50"
14 mar 2013,"606.914.429,99"
13 mar 2013,"2.052.911.245,09"
12 mar 2013,"711.943.541,59"
11 mar 2013,"599.264.298,58"
08 mar 2013,"872.774.981,89"
07 mar 2013,"1.182.059.320,87"
06 mar 2013,"744.582.890,67"
05 mar 2013,"1.693.280.091,88"
04 mar 2013,"530.199.810,44"
01 mar 2013,"738.409.483,25"
28 fev 2013,"15.540.801.237,78"
27 fev 2013,"1.376.199.721,54"
26 fev 2013,"1.134.003.682,97"
25 fev 2013,"12.328.757.475,51"
22 fev 2013,"1.160.858.994,46"
21 fev 2013,"760.040.822,50"
20 fev 2013,"10.071.698.247,57"
19 fev 2013,"1.307.938.614,57"
18 fev 2013,"927.836.023,56"
15 fev 2013,"3.416.285.171,60"
14 fev 2013,"707.611.551,76"
13 fev 2013,"443.585.108,98"
08 fev 2013,"782.699.501,96"
07 fev 2013,"575.505.345,29"
06 fev 2013,"752.561.275,23"
05 fev 2013,"2.279.454.382,78"
04 fev 2013,"700.954.736,10"
01 fev 2013,"814.204.968,51"
31 jan 2013,"38.171.403.491,62"
30 jan 2013,"3.603.561.677,46"
29 jan 2013,"1.653.687.409,11"
28 jan 2013,"1.217.382.797,09"
25 jan 2013,"9.122.824.989,04"
24 jan 2013,"6.369.222.143,43"
23 jan 2013,"2.085.530.372,49"
22 jan 2013,"1.009.094.433,17"
21 jan 2013,"4.427.143.624,93"
18 jan 2013,"10.520.591.264,61"
17 jan 2013,"1.228.249.022,93"
16 jan 2013,"913.712.443,34"
15 jan 2013,"3.667.235.293,51"
14 jan 2013,"858.015.910,27"
11 jan 2013,"589.043.435,80"
10 jan 2013,"1.809.203.971,13"
09 jan 2013,"974.339.224,14"
08 jan 2013,"600.104.868,45"
07 jan 2013,"608.696.868,97"
04 jan 2013,"3.391.835.130,45"
03 jan 2013,"608.664.970,67"
02 jan 2013,"722.467.526,51"
31 dez 2012,"4.027.417.609,17"
28 dez 2012,"12.954.282.844,47"
27 dez 2012,"2.380.866.175,53"
26 dez 2012,"3.292.522.797,64"
24 dez 2012,"7.169.063.585,35"
21 dez 2012,"5.995.118.969,88"
20 dez 2012,"10.689.564.006,19"
19 dez 2012,"2.336.575.195,11"
18 dez 2012,"1.625.524.885,50"
17 dez 2012,"1.236.424.397,59"
14 dez 2012,"2.310.367.774,89"
13 dez 2012,"2.509.829.357,46"
12 dez 2012,"1.068.216.861,75"
11 dez 2012,"667.287.984,92"
10 dez 2012,"1.265.335.102,37"
07 dez 2012,"759.217.337,74"
06 dez 2012,"700.315.600,53"
05 dez 2012,"5.925.091.646,86"
04 dez 2012,"673.236.048,37"
03 dez 2012,"698.296.452,38"
30 nov 2012,"17.814.992.975,09"
29 nov 2012,"2.014.296.891,54"
28 nov 2012,"1.167.931.087,11"
27 nov 2012,"807.663.288,91"
26 nov 2012,"846.516.534,26"
23 nov 2012,"13.480.746.951,69"
22 nov 2012,"1.312.623.363,71"
21 nov 2012,"2.198.352.138,02"
20 nov 2012,"4.927.426.341,67"
19 nov 2012,"5.695.035.726,77"
16 nov 2012,"831.452.199,05"
14 nov 2012,"4.028.003.174,23"
13 nov 2012,"757.855.808,80"
12 nov 2012,"663.869.586,51"
09 nov 2012,"1.193.221.371,68"
08 nov 2012,"574.790.033,39"
07 nov 2012,"741.010.656,85"
06 nov 2012,"2.460.003.268,64"
05 nov 2012,"473.820.631,13"
01 nov 2012,"880.932.926,56"
31 out 2012,"24.111.161.029,51"
30 out 2012,"2.734.294.770,81"
29 out 2012,"1.671.001.890,95"
26 out 2012,"884.374.234,53"
25 out 2012,"11.605.469.586,58"
24 out 2012,"2.660.624.298,26"
23 out 2012,"1.057.906.664,96"
22 out 2012,"3.517.696.082,86"
19 out 2012,"7.240.124.855,13"
18 out 2012,"1.118.174.892,50"
17 out 2012,"821.975.719,41"
16 out 2012,"2.417.205.167,23"
15 out 2012,"1.873.478.887,86"
11 out 2012,"1.072.718.561,55"
10 out 2012,"1.268.470.354,71"
09 out 2012,"628.437.042,28"
08 out 2012,"616.444.707,87"
05 out 2012,"630.229.106,56"
04 out 2012,"542.671.516,61"
03 out 2012,"2.121.078.046,25"
02 out 2012,"933.699.096,64"
01 out 2012,"268.051.059,65"
28 set 2012,"15.904.609.138,14"
27 set 2012,"1.461.621.119,54"
26 set 2012,"1.054.881.684,55"
25 set 2012,"14.337.294.066,49"
24 set 2012,"1.414.270.018,56"
21 set 2012,"962.048.711,78"
20 set 2012,"8.928.440.146,84"
19 set 2012,"1.652.990.266,41"
18 set 2012,"1.067.497.927,16"
17 set 2012,"1.031.901.125,43"
14 set 2012,"1.803.323.335,52"
13 set 2012,"1.999.161.216,68"
12 set 2012,"717.934.352,39"
11 set 2012,"629.297.172,95"
10 set 2012,"1.225.381.035,84"
06 set 2012,"619.261.094,74"
05 set 2012,"2.077.730.674,94"
04 set 2012,"614.923.597,39"
03 set 2012,"508.082.315,30"
31 ago 2012,"13.382.164.590,03"
30 ago 2012,"1.603.872.598,30"
29 ago 2012,"1.162.432.808,82"
28 ago 2012,"852.695.025,52"
27 ago 2012,"843.541.415,32"
24 ago 2012,"11.627.184.715,87"
23 ago 2012,"2.383.250.326,98"
22 ago 2012,"891.634.000,88"
21 ago 2012,"912.771.536,59"
20 ago 2012,"9.510.423.710,54"
17 ago 2012,"1.189.572.500,81"
16 ago 2012,"693.458.212,44"
15 ago 2012,"3.318.484.608,45"
14 ago 2012,"804.550.847,92"
13 ago 2012,"716.950.655,29"
10 ago 2012,"921.306.039,91"
09 ago 2012,"602.778.647,57"
08 ago 2012,"666.053.822,60"
07 ago 2012,"512.373.151,11"
06 ago 2012,"534.992.188,32"
03 ago 2012,"2.201.542.970,68"
02 ago 2012,"446.546.248,19"
01 ago 2012,"598.251.585,59"
31 jul 2012,"22.944.687.160,02"
30 jul 2012,"3.044.035.492,09"
27 jul 2012,"1.006.814.045,71"
26 jul 2012,"765.286.376,28"
25 jul 2012,"13.002.853.589,33"
24 jul 2012,"1.375.671.540,54"
23 jul 2012,"935.147.736,55"
20 jul 2012,"9.174.882.660,26"
19 jul 2012,"1.281.088.621,08"
18 jul 2012,"845.227.643,94"
17 jul 2012,"758.439.976,85"
16 jul 2012,"639.474.603,09"
13 jul 2012,"3.325.500.321,09"
12 jul 2012,"806.283.802,74"
11 jul 2012,"811.371.545,71"
10 jul 2012,"983.681.311,00"
09 jul 2012,"411.735.452,97"
06 jul 2012,"452.949.417,28"
05 jul 2012,"683.371.844,67"
04 jul 2012,"2.526.980.789,68"
03 jul 2012,"644.138.986,77"
02 jul 2012,"576.882.409,14"
29 jun 2012,"14.688.146.417,31"
28 jun 2012,"1.517.983.029,18"
27 jun 2012,"916.818.986,27"
26 jun 2012,"802.257.916,92"
25 jun 2012,"13.941.388.990,50"
22 jun 2012,"1.158.059.449,85"
21 jun 2012,"780.790.336,18"
20 jun 2012,"9.693.692.670,55"
19 jun 2012,"1.380.030.398,55"
18 jun 2012,"904.393.390,70"
15 jun 2012,"2.201.957.930,75"
14 jun 2012,"908.705.362,20"
13 jun 2012,"1.776.798.200,61"
12 jun 2012,"559.038.255,45"
11 jun 2012,"725.951.885,14"
08 jun 2012,"589.882.997,48"
06 jun 2012,"759.109.608,29"
05 jun 2012,"6.626.704.501,93"
04 jun 2012,"612.327.942,95"
01 jun 2012,"579.743.502,74"
31 mai 2012,"13.718.410.869,43"
30 mai 2012,"1.901.222.457,83"
29 mai 2012,"1.138.443.342,57"
28 mai 2012,"843.989.517,96"
25 mai 2012,"11.689.356.300,17"
24 mai 2012,"962.716.377,76"
23 mai 2012,"2.191.314.467,52"
22 mai 2012,"885.636.934,50"
21 mai 2012,"3.488.949.871,97"
18 mai 2012,"6.831.898.114,45"
17 mai 2012,"868.595.226,15"
16 mai 2012,"721.319.450,99"
15 mai 2012,"4.039.518.912,62"
14 mai 2012,"767.506.532,71"
11 mai 2012,"641.320.698,32"
10 mai 2012,"1.236.177.698,94"
09 mai 2012,"703.110.135,05"
08 mai 2012,"649.567.583,75"
